"variable","term","edf","ref_df","F","p_value","r_squared"
"avg_TU_duration_delta","s(transcriber)",8.0112621664744,9,8.55812830708616,0,0.598527084610447
"avg_TU_duration_delta","(Intercept)",NA,NA,NA,0.464424555999366,0.598527084610447
"avg_TU_duration_delta","expertnovice",NA,NA,NA,0.874498237845825,0.598527084610447
"avg_TU_duration_delta","phasemanual",NA,NA,NA,0.0275357404851698,0.598527084610447
"avg_TU_duration_delta","datainterview",NA,NA,NA,0.0171153239097049,0.598527084610447
"avg_TU_duration_delta","dataL2-interview",NA,NA,NA,0.996671382177339,0.598527084610447
"n_intonationpatterns_norm","s(minute)",1.00011354115459,1.00022706941758,95.6579167796196,0,0.693207809569617
"n_intonationpatterns_norm","s(transcriber)",0.00121957352256354,9,0.000100524132781963,0.666987094433449,0.693207809569617
"n_intonationpatterns_norm","(Intercept)",NA,NA,NA,1.07363263135841e-19,0.693207809569617
"n_intonationpatterns_norm","expertnovice",NA,NA,NA,0.207695339298166,0.693207809569617
"n_intonationpatterns_norm","phasemanual",NA,NA,NA,0.301603625926516,0.693207809569617
"n_intonationpatterns_norm","datainterview",NA,NA,NA,2.37835131094162e-07,0.693207809569617
"n_intonationpatterns_norm","dataL2-interview",NA,NA,NA,0.741287556394896,0.693207809569617
"n_intonationpatterns_delta","s(minute)",1.00034306788057,1.00068601806556,3.27770877903078,0.0755293050211577,0.332404510101679
"n_intonationpatterns_delta","s(transcriber)",4.04907112421091,9,0.805085328926046,0.0911075389766324,0.332404510101679
"n_intonationpatterns_delta","(Intercept)",NA,NA,NA,4.72424937930455e-05,0.332404510101679
"n_intonationpatterns_delta","expertnovice",NA,NA,NA,0.0905441994139529,0.332404510101679
"n_intonationpatterns_delta","phasemanual",NA,NA,NA,0.228737804594474,0.332404510101679
"n_intonationpatterns_delta","datainterview",NA,NA,NA,0.00241620257635564,0.332404510101679
"n_intonationpatterns_delta","dataL2-interview",NA,NA,NA,0.000288146801900633,0.332404510101679
"n_prolongations_norm","s(minute)",1.00011120595523,1.0002223995437,25.1633924480529,6.41303894166612e-06,0.409706934525801
"n_prolongations_norm","s(transcriber)",5.86364777019691,9,1.83870827137377,0.00862679023090207,0.409706934525801
"n_prolongations_norm","(Intercept)",NA,NA,NA,2.98357734194611e-05,0.409706934525801
"n_prolongations_norm","expertnovice",NA,NA,NA,0.24167818593724,0.409706934525801
"n_prolongations_norm","phasemanual",NA,NA,NA,0.105693167634644,0.409706934525801
"n_prolongations_norm","datainterview",NA,NA,NA,0.764348352151388,0.409706934525801
"n_prolongations_norm","dataL2-interview",NA,NA,NA,0.235285132793798,0.409706934525801
"n_prolongations_delta","s(minute)",1.00020101215259,1.00040198389929,2.10158266244694,0.15301789383311,0.420950442226756
"n_prolongations_delta","s(transcriber)",7.13801155057439,9,3.53630206030917,0.000224093397855896,0.420950442226756
"n_prolongations_delta","(Intercept)",NA,NA,NA,0.0235696053187923,0.420950442226756
"n_prolongations_delta","expertnovice",NA,NA,NA,0.319042740911972,0.420950442226756
"n_prolongations_delta","phasemanual",NA,NA,NA,0.125458824576323,0.420950442226756
"n_prolongations_delta","datainterview",NA,NA,NA,0.00370806808722298,0.420950442226756
"n_prolongations_delta","dataL2-interview",NA,NA,NA,0.071535766235971,0.420950442226756
"n_overlaps_norm","s(minute)",1.9457928912608,1.99706158936214,8.69830185960096,0.000527953309310214,0.521259654159557
"n_overlaps_norm","s(transcriber)",5.53540239836109,9,1.63170407168789,0.0127782486959358,0.521259654159557
"n_overlaps_norm","(Intercept)",NA,NA,NA,4.72347692004404e-07,0.521259654159557
"n_overlaps_norm","expertnovice",NA,NA,NA,0.0330984070436086,0.521259654159557
"n_overlaps_norm","phasemanual",NA,NA,NA,0.0605791277429771,0.521259654159557
"n_overlaps_norm","datainterview",NA,NA,NA,0.788282248732269,0.521259654159557
"n_overlaps_norm","dataL2-interview",NA,NA,NA,0.00208213598577457,0.521259654159557
"n_overlaps_delta","s(minute)",1.00034928071701,1.00069843943699,0.19546223384508,0.660136530570423,0.449110516984835
"n_overlaps_delta","s(transcriber)",1.4624238827598,9,0.196344295171952,0.307254235765564,0.449110516984835
"n_overlaps_delta","(Intercept)",NA,NA,NA,0.586322646053227,0.449110516984835
"n_overlaps_delta","expertnovice",NA,NA,NA,0.0408157005025785,0.449110516984835
"n_overlaps_delta","phasemanual",NA,NA,NA,0.221181349865181,0.449110516984835
"n_overlaps_delta","datainterview",NA,NA,NA,0.17911615674764,0.449110516984835
"n_overlaps_delta","dataL2-interview",NA,NA,NA,1.87926628943096e-05,0.449110516984835
