"x","predicted","std.error","conf.low","conf.high","group","predictor","dependent_var"
"asr-assisted",6.80914132925557,0.477014590028298,5.85172314616297,7.76655951234817,"1","phase","avg_tokens"
"manual",5.73217163228587,0.477014590028298,4.77475344919327,6.68958981537848,"1","phase","avg_tokens"
"free-conversation",6.80914132925557,0.477014590028298,5.85172314616297,7.76655951234817,"1","data","avg_tokens"
"interview",8.31321065318679,0.477014590028298,7.35579247009419,9.2706288362794,"1","data","avg_tokens"
"L2-interview",6.8287155668382,0.368696009255753,6.08870410665583,7.56872702702057,"1","data","avg_tokens"
"1",-0.917340395979453,0.542755369459447,-2.00695718300151,0.172276391042608,"1","minute","avg_tokens_delta"
"2",-0.312216090052711,0.535897550371861,-1.38806535818751,0.763633178082091,"1","minute","avg_tokens_delta"
"3",-0.259613123252181,0.542755369459447,-1.34922991027424,0.83000366376988,"1","minute","avg_tokens_delta"
"expert",-0.312216090052711,0.535897550371861,-1.38806535818751,0.763633178082091,"1","expert","avg_tokens_delta"
"novice",-0.411221408095668,1.04327050361341,-2.50565495607564,1.6832121398843,"1","expert","avg_tokens_delta"
"asr-assisted",-0.312216090052711,0.535897550371861,-1.38806535818751,0.763633178082091,"1","phase","avg_tokens_delta"
"manual",0.743238455401834,0.535897550371861,-0.332610812732968,1.81908772353664,"1","phase","avg_tokens_delta"
"free-conversation",-0.312216090052711,0.535897550371861,-1.38806535818751,0.763633178082091,"1","data","avg_tokens_delta"
"interview",-2.63687801849598,0.535897550371861,-3.71272728663078,-1.56102875036118,"1","data","avg_tokens_delta"
"L2-interview",-0.146454840209066,0.42350124054158,-0.996661189117884,0.703751508699752,"1","data","avg_tokens_delta"
"1",1.87635100915387,0.214992331145481,1.44487201905048,2.30782999925726,"1","minute","avg_TU_duration"
"2",1.98066925926841,0.207016419204827,1.56519753049835,2.39614098803847,"1","minute","avg_TU_duration"
"3",2.08498737279024,0.214992331145481,1.65350838268685,2.51646636289363,"1","minute","avg_TU_duration"
"expert",1.98066925926841,0.207016419204827,1.56519753049835,2.39614098803847,"1","expert","avg_TU_duration"
"novice",2.14513517287054,0.412421953798908,1.31742468118233,2.97284566455875,"1","expert","avg_TU_duration"
"asr-assisted",1.98066925926841,0.207016419204827,1.56519753049835,2.39614098803847,"1","phase","avg_TU_duration"
"manual",1.69733592593508,0.207016419204827,1.28186419716502,2.11280765470514,"1","phase","avg_TU_duration"
"free-conversation",1.98066925926841,0.207016419204827,1.56519753049835,2.39614098803847,"1","data","avg_TU_duration"
"interview",2.55345193291432,0.207016419204827,2.13798020414426,2.96892366168438,"1","data","avg_TU_duration"
"L2-interview",2.1454167198545,0.160220731897358,1.82386162426406,2.46697181544495,"1","data","avg_TU_duration"
"1",-0.489575015459708,0.279820309720565,-1.05107846024276,0.0719284293233431,"1","minute","avg_TU_duration_delta"
"2",-0.340256749658972,0.26915691224665,-0.880362410912037,0.199848911594093,"1","minute","avg_TU_duration_delta"
